Detailed Location,Began,Duration(Days),Year,Dead,Displaced,Damage(USD),Magnitude,Main Cause,Severity,Affected(sqkm),Longitude,Latitude,Magnitude Scale
Southwestern China; Sichuan and Guizhou provinces; megacity of Chongqing,2014-09-01,8,2014,44,121700,Unknown,5.8,Torrential Rain,1.5,55272,108.35,30.7799,Medium
"Fujian, Jiangxi, Hunan, Guangdong, Sichuan and Guangxi Zhuang regions; Guizhou",2014-08-11,9,2014,27,10000,Unknown,6.7,Torrential Rain,1.5,387775,114.164,25.4709,High
"Hainan, Guanxi Provinces, northern Viet Nam",2014-07-18,12,2014,46,100000,Unknown,6.3,Typhoon,2.0,82764,107.508,21.4955,Medium
"Southern China;  Hunan, Jiangxi provinces;  Guangxi Zhuang Autonomous Region",2014-06-05,21,2014,14,337000,Unknown,6.9,Torrential Rain,1.0,377101,112.358,26.4396,High
"Southern China, Guangdong Province",2014-05-30,12,2014,6,500,Unknown,5.7,Torrential Rain,1.0,45994,113.342,23.2652,Medium
"Hunan Province, including Guiyang, Shenzhen cities.",2014-05-12,5,2014,1,10000,Unknown,6.3,Torrential Rain,2.0,205001,111.467,27.3821,Medium
"South-eastern province of Fujian, Zhejiang, Shanghai",2013-10-08,7,2013,6,176900,Unknown,5.6,Tropical Storm,1.5,41577,120.573,29.15,Medium
"Extreme southern China; Hunan, Guangxi and neighboring Guangdong provinces",2013-08-15,7,2013,40,0,Unknown,6.0,Tropical Storm,1.5,98182,113.694,22.7696,Medium
"Northwest China,  Qinghai Province",2013-08-18,4,2013,80,0,Unknown,5.7,Torrential Rain,1.5,93531,100.184,35.9161,Medium
"NE China, including Fushun City, Liaoning Province",2013-08-07,69,2013,100,260000,Unknown,8.3,Torrential Rain,2.0,1430155,130.272,50.5323,High
"South China, Guangxi Zhuang Autonomous Region",2013-07-11,5,2013,0,8,Unknown,5.9,Torrential Rain,1.5,112220,108.355,23.0867,Medium
"Southeast China, Fujian Province",2013-07-13,3,2013,1,300000,Unknown,5.7,Tropical Storm,1.5,101850,118.14,25.8633,Medium
"Western China, Sichuan Province",2013-07-05,11,2013,200,100000,Unknown,6.8,Torrential Rain,1.5,419827,104.022,30.4563,High
"S. China, especially Guangdong Province, Guizhou province",2013-05-12,17,2013,55,10000,Unknown,6.3,Torrential Rain,1.5,84761,114.464,23.6387,Medium
Central Sichuan city of Suinin; other areas in Sichuan,2012-09-09,10,2012,7,0,Unknown,5.9,Torrential Rain,1.5,56959,107.186,30.3813,Medium
Ningxia Hui Autonomous Region,2012-08-25,5,2012,6,30,Unknown,5.5,Torrential Rain,1.5,45130,106.115,37.3916,Medium
"Southwest China's Sichuan province; Chengdu, Mianyang, Deyang cities",2012-08-14,7,2012,13,14600,Unknown,5.9,Torrential Rain,1.0,107983,103.73,31.1602,Medium
Northeast China;  Jiangsu and Shandong provinces,2012-08-03,4,2012,2,800000,Unknown,4.9,Typhoon,2.0,9559,122.594,40.5195,Medium
Flood prone areas of Yellow river in Shanxi and Shaanxi provinces,2012-07-25,6,2012,0,40000,Unknown,6.0,Torrential Rain,1.5,100600,110.85,34.7959,Medium
Beijing,2012-07-21,5,2012,77,0,Unknown,5.5,Torrential Rain,2.0,29832,117.702,42.3329,Medium
Hubei,2012-07-09,17,2012,58,140000,Unknown,6.4,Torrential Rain,1.5,92141,113.04,31.4158,High
"Inner Mongolia, Zhejiang, Fujian, Jiangxi, Hubei, Hunan, Guangdong, Guangxi, Chongqing, Sichuan and Guizhou.",2012-06-22,11,2012,50,120000,Unknown,7.6,Torrential Rain,1.5,2643786,106.943,33.4553,High
"Hunan, Gansu provinces",2012-05-08,9,2012,53,185000,Unknown,7.2,Torrential Rain,1.5,1056107,106.493,32.4515,High
Guangxi Zhuang Autonomous Region,2011-10-01,10,2011,0,132300,Unknown,5.6,Tropical Storm,1.5,24302,109.005,22.248,Medium
"Various locations: Beijing, northern Shanxi province and the Inner Mongolia Autonomous Region, northeastern Jilin and Heilongjiang provinces, eastern Jiangsu province, central Henan province, southwestern Yunnan province and northwestern Xinjiang Uygur Autonomous Region",2011-08-01,39,2011,22,50000,Unknown,7.9,Torrential Rain,1.5,1215861,109.532,37.4167,High
"S. China, Jiangsu, Anhui, Jiangxi, Hunan, Guangdong, Sichuan, Yunnan provinces and the autonomous region of Tibet",2011-07-11,12,2011,6,1600000,Unknown,7.4,Torrential Rain,1.5,1341347,108.111,27.0633,High
Northwest China's Gansu Province,2011-06-15,7,2011,0,2000,Unknown,6.1,Torrential Rain,1.5,115468,102.561,36.9861,Medium
"Zhejiang, Jiangsu, Anhui, Jiangxi, Hubei, Hunan and Guangdong provinces in central and southern China",2011-06-01,29,2011,175,1600000,Unknown,7.4,Torrential Rain,2.0,431896,114.478,27.8963,High
Hainan,2010-10-16,4,2010,0,100000,Unknown,5.2,Torrential Rain,1.5,24954,109.833,19.2123,Medium
Hainan,2010-10-04,9,2010,0,200000,Unknown,4.9,Torrential Rain,2.0,3978,110.025,18.9,Medium
