Year,No. of Floods,Dead,Displaced,Duration(Days)
1985,9,998,2554200,104
1988,2,126,239000,9
1989,17,5794,1547813,225
1990,6,1296,4566800,84
1991,9,1819,1559000,96
1992,12,1015,5759503,255
1993,7,670,2984200,77
1994,9,1856,2604000,80
1995,4,1758,10325000,145
1996,6,687,431770,50
1997,18,1730,2233400,149
1998,26,2217,9607932,319
1999,11,1064,7403552,172
2000,4,172,70165,47
2001,4,44,156000,20
2002,22,763,914500,198
2003,14,733,3827600,300
2004,15,516,1091000,118
2005,18,874,5096400,198
2006,23,842,3969966,146
2007,11,935,3528909,153
2008,12,265,1812051,125
2009,5,54,825250,28
2010,10,2160,5395180,131
2011,5,203,3384300,97
2012,9,266,1299630,74
2013,8,482,846908,123
2014,6,138,579200,67
